,Unnamed: 0,cbsa10,ADHD_Count,Mental Health Provider,Real_Obese_Count,Real_PhysInact_Count,Population_Real,Population_Female,Population_Male,Food_Insecure_Real,Limit_Healthy_Food_Real,Food_Environment_Index,Access_To_Exercises,College_Education,Uninsured,Unemployment,Children_Poverty,Income Inequality,Single_Parent_Households,Uninsured_Children,Uninsured_Adults,FFR16,FSR16,SAMI_FFR,SAMI_FSR,SAMI_FI,SAMI_FI_CHILD,SAMI_PHYSINACT_REAL,SAMI_ADHD,SAMI_FI_REAL,SAMI_LIMIT_FOOD,SAMI_OBESITY_REAL,SAMI_MHP,SAMI_CHILD_POVERTY,SAMI_SINGLE_PARENT,SAMI_ACCESS_EXERCISES,SAMI_UNINSURANCE,SAMI_UNEMPLOYMENT,SAMI_UNINSURED_CHILDREN,SAMI_UNINSURED_ADULTS,SAMI_FEMALE,SAMI_MALE,SAMI_COLLEGE_EDUCATION
0,0,C1010,4539.9678,111.0,12467.603,10631.511,41948.0,21341.0,20607.0,4310.0,3120.28693236,7.65,28234.0,6585.0,3668.0,756.0,1204.0,183595.0,2304.0,522.0,3201.0,30,31,0.0794408744541468,0.0264959267074731,-0.3572381679017233,-0.28393080680277993,-0.0219960685884856,-0.2416487714651012,-0.3572381679017233,0.1161915266288655,-0.0219800250561768,0.9704652835923636,-0.5940171356053945,-0.2926131513881964,0.018071104263452,-0.420371968126874,-0.6111216888994555,-0.304694810578856,-0.4283699145970239,0.0177273390720706,-0.0166114403370425,0.2013791267210027
1,1,C1014,8664.4082,85.0,24592.988000000005,17911.656,71078.0,34563.0,36515.0,12520.0,4166.7780542,6.8,58897.0,8890.0,11469.0,3249.0,4115.0,82941.0,5689.0,1204.0,10371.0,45,62,-0.062240606573062,0.1919150031822516,0.183632152993491,0.2827847516327253,-0.001912619331847,-0.114229033191437,0.183632152993491,-0.0961754248297239,0.1446703434188609,0.0874448927878557,0.118184091083842,0.0768845821972856,0.190233077431186,0.1955251258971184,0.3093483126141336,0.0195837085906642,0.2208214523821894,-0.0307044715593889,0.0311745477669393,-0.0656943346398577
2,2,C1018,51707.4829,170.0,47760.521,43530.097,167501.0,82983.0,84518.0,28790.0,18555.4040531,6.6000000000000005,123370.0,23885.0,31062.0,4262.0,9763.0,256842.0,13350.0,4604.0,26924.0,147,97,0.2321336529084599,-0.2183391720041267,0.1620928299116535,0.2296060755964895,0.0708171316499761,0.8286953770634007,0.1620928299116535,0.5821077123082272,-0.0249573596687522,-0.2209560460521427,0.1420971153015688,0.061206675349231,0.0143004777928119,0.3399227078320805,-0.2931237364031744,0.5294755640825972,0.3192211075575955,-0.0173278834580443,0.0181473351633218,0.000626235157263
3,3,C1022,6223.089599999999,179.0,13449.168,12385.392,37992.0,19445.0,18547.0,6050.0,3203.6326171,6.7,25335.0,5533.0,6819.0,1005.0,2349.0,82844.0,3208.0,1044.0,5873.0,22,23,-0.1279398400817823,-0.1728703523751242,0.0805939850824248,0.10735796920742935,0.2249080479564789,0.1711632682647028,0.0805939850824248,0.2367680116210557,0.1501033490003269,1.5640548686263376,0.1713950284696359,0.1387658556056603,0.0155021037661526,0.298140298549951,-0.2254408915446637,0.484523054126889,0.2774019089231565,0.0243506256997374,-0.0234502399360092,0.1338570959001188
4,4,C1030,18081.9724,160.0,31640.972,23805.12,99188.0,48956.0,50232.0,12770.0,6499.5170548,7.7,70516.0,14410.0,10014.0,3932.0,4559.0,86827.0,6861.0,1097.0,9034.0,54,66,-0.2256698349971175,-0.0790445700638766,-0.1286805931218211,-0.25852764208201595,-0.0343985801225628,0.2935716098732772,-0.1286805931218211,0.031449633687572,0.0726926517584143,0.3306176995929544,-0.1059183078525922,-0.0734863958490326,0.0144497582481637,-0.2713283637869921,0.1604367045979327,-0.3966853729766111,-0.2498114184819968,-0.017851815893632,0.0187860350851867,0.0588742632194581
5,5,C1042,114896.004,1043.0,198575.252,166668.668,705686.0,363357.0,342329.0,109280.0,54246.6548665,7.1,645754.0,112309.0,77255.0,26584.0,29719.0,193712.0,51931.0,8824.0,69459.0,592,456,0.1330295017178668,-0.1097774471003587,0.0627823001393981,-0.05336187028910899,0.0455563735165114,0.2120199048082689,0.0627823001393981,0.2869651304551954,0.0018373689230148,-0.087239003690219,-0.1541010074327626,-0.0377822495389441,0.1338413640446116,-0.1782875690040395,0.0713286339085677,-0.2148243373521445,-0.1685461231247043,0.0124095077140946,-0.0129331560977341,0.0017448847876888
6,6,C1046,6404.1216,151.0,15419.76,14894.832,65616.0,32187.0,33429.0,11300.0,12651.780679,5.2,41416.0,8526.0,12734.0,1648.0,5337.0,76588.0,6053.0,1619.0,11301.0,30,36,-0.3847453482704597,-0.2716843787002885,0.1607886466351455,0.3936897678606499,-0.1103037634457511,-0.3378357891447496,0.1607886466351455,1.0905316205841815,-0.2444071813897039,0.7554950919885703,0.4565662799367054,0.2199302804792662,-0.0765103270634703,0.3796195433023932,-0.2879249755852875,0.3932922471000601,0.3865076692482194,-0.0214762668336234,0.0223724411852774,-0.0214991915531435
7,7,C1048,2281.2785000000003,219.0,5807.443,5781.201,28048.0,13976.0,14072.0,3960.0,2551.90289038,6.0,12293.0,3126.0,4606.0,1253.0,2279.0,213765.0,2266.0,814.0,3867.0,18,22,-0.0137587775646217,0.086355408784696,-0.0408138708391803,0.23956054957440198,-0.2483870667355745,-0.5337789793711671,-0.0408138708391803,0.297955662833953,-0.394656784371298,2.120295168492574,0.4385243387401978,0.098645399702903,-0.3836219781604431,0.2073793789083176,0.3044653934103429,0.5299839539852229,0.1624049245324386,-0.0005760045012017,0.0021371998681569,-0.1107239263171777
8,8,C1050,25643.3695,85.0,53932.48,41736.027,152353.0,80127.0,72226.0,35090.0,21933.935633628003,5.875,100460.0,20575.0,26685.0,6392.0,14117.0,320325.0,20702.0,3064.0,23926.0,115,70,0.0849812185918406,-0.4496973011389977,0.4544414673862267,0.46044584098158126,0.1188806914914231,0.2206458070881876,0.4544414673862267,0.8395401252575674,0.1887284561923454,-0.8033535756391128,0.6037683319014455,0.595975670074532,-0.089912024266427,0.2822453125837665,0.2088154012435286,0.2142045213104513,0.295780241899914,0.0430204321692162,-0.0447745503553935,-0.0465939880930772
9,9,C1054,15106.908,123.0,37173.445,23753.0,118765.0,60012.0,58753.0,18930.0,10035.155075,6.7,87234.0,17921.0,16410.0,5169.0,7148.0,82175.0,9371.0,1892.0,14698.0,64,82,-0.2426635590624304,-0.0422399153208159,0.0854633829438586,0.07088338938353367,-0.2079070330470322,-0.0634306043714652,0.0854633829438586,0.2944862040979767,0.0587155517630453,-0.1428315862217628,0.167287938059923,0.0557448096177246,0.0348617765226748,0.0435564555421912,0.2503389044045256,-0.0263326159146259,0.0571126394631917,0.0045349358851911,-0.0036150715364566,0.0831804059310936
